[INFO 7:20:13 PM] miguelsolorio.symbols activated
[INFO 7:20:14 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 7:20:14 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:20:14 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:20:14 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 7:20:14 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 7:20:14 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:20:14 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
[INFO 7:20:23 PM] 🤖 symbols.defaultAssociations changed, updating to true
[INFO 7:20:23 PM] 🤖 symbols.hidesExplorerArrows changed, updating to false
[INFO 7:20:23 PM] 🤖 symbols.folders.associations changed, updating to undefined
[INFO 7:20:23 PM] 🤖 symbols.hidesLogoIcons changed, updating to undefined
[INFO 7:20:23 PM] 🤖 symbols.rootFolders.associations changed, updating to undefined
[INFO 7:20:23 PM] 🤖 symbols.files.associations changed, updating to undefined
[INFO 7:20:23 PM] 🤖 symbols.subfolder.file.associations changed, updating to undefined
